0,111.351,-109.844,104.396,122.295,23.6881
10,105.937,-102.06,80.2825,119.312,30.2836
20,115.716,-83.8672,99.5959,126.478,6.34729
30,111.307,-77.1193,102.902,115.583,24.2765
40,110.597,-105.815,79.956,79.3629,11.5
50,113.218,-90.4758,62.3861,115.682,-3.50435
60,118.098,-93.2902,96.3963,98.5032,0.329927
70,112.813,-81.723,67.621,99.8768,37.4486
80,117.981,-81.8094,71.0716,106.479,22.0996
90,116.333,-85.6868,72.6171,77.8566,24.0583
100,116.383,-85.1795,69.4985,119.488,15.4619
110,112.671,-87.0806,74.0965,110.272,9.00826
120,114.001,-76.9911,46.0009,106.723,1.88182
130,113.848,-88.5289,98.3323,97.0596,1.00796
140,117.342,-72.3118,112.575,108.172,24.0197
150,114.306,-61.1446,98.5493,108.063,3.07206
160,110.661,-78.8056,116.006,119.863,5.84998
170,107.683,-89.6345,94.3062,106.412,20.2081
180,116.253,-96.9881,83.0386,103.789,5.68806
190,118.764,-108.496,98.1388,96.6964,21.7315
200,118.727,-84.3682,129.36,112.836,-7.18829
210,115.293,-99.3198,98.0666,115.8,5.81565
220,110.692,-70.6256,127.4,98.4591,19.9129
230,111.551,-90.0839,92.1404,104.126,15.2631
240,112.597,-122.702,91.3798,115.188,13.0586
250,108.743,-98.1877,105.562,107.748,9.51816
260,111.816,-85.2788,121.432,113.918,44.9057
270,108.879,-68.3731,139.83,107.968,65.1899
280,118.961,-91.0767,106.176,108.201,4.14812
290,115.832,-77.0173,61.9655,80.0108,9.4084
300,115.224,-86.7791,104.053,116.014,25.3856
310,106.461,-94.0773,97.1705,94.7689,3.77832
320,110.979,-84.9547,110.961,108.364,7.89419
330,111.149,-90.1224,105.08,95.7372,11.5847
340,117.189,-86.1632,104.869,104.865,13.1925
350,110.935,-82.393,120.217,101.519,11.2596
360,110.408,-73.752,116.831,106.984,12.0246
370,118.827,-77.3822,90.409,109.183,6.84009
380,108.113,-65.1277,99.674,117.086,6.43929
390,121.04,-82.6143,107.806,110.616,22.1377
400,114.605,-86.7703,98.2927,86.2996,29.3244
410,115.626,-84.5442,111.971,120.257,-0.258179
420,107.12,-64.5369,115.947,93.0267,21.6345
430,111.437,-78.8155,95.5736,108.341,-0.663202
440,111.705,-83.5676,108.64,108.417,25.5658
450,115.669,-76.0679,108.817,96.3276,19.6929
460,112.338,-71.7933,96.2765,103.908,14.6861
470,117.556,-76.0162,115.355,107.424,-0.255432
480,117.886,-82.3637,104.897,105.14,15.2704
490,118.763,-102.408,99.7478,106.781,47.2883
500,115.383,-80.3956,119.78,111.622,27.2037
510,116.212,-78.8499,132.417,97.8616,14.7528
520,118.941,-82.6214,104.129,110.95,21.1199
530,111.595,-66.3374,118.683,112.129,5.08084
540,112.958,-65.2617,121.716,117.926,-9.54005
550,108.041,-85.0628,143.538,89.9017,7.77001
560,111.179,-74.5959,121.136,110.001,13.134
570,114.26,-91.3211,109.767,90.0131,22.3799
580,113.15,-82.6986,104.332,89.3682,36.5117
590,112.085,-79.0472,105.198,116.473,16.7922
